City_ID,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,qaqortoq,60.7167,-46.0333,3.42,66,0,12.6,GL,1693711907
1,aasiaat,68.7098,-52.8699,0.6,82,99,5.99,GL,1693711908
2,evanston,42.0411,-87.6901,25.62,59,19,2.68,US,1693711761
3,quellon,-43.1167,-73.6167,3.14,93,20,1.03,CL,1693711909
4,port-aux-francais,-49.35,70.2167,3.6,91,98,10.83,TF,1693711909
5,adamstown,-25.066,-130.1015,18.01,86,100,2.47,PN,1693711910
6,tubarjal,30.4999,38.216,24.36,44,0,5.14,SA,1693711910
7,bell ville,-32.6259,-62.6887,7.67,95,100,5.21,AR,1693711911
8,papatowai,-46.5619,169.4708,8.84,87,100,1.92,NZ,1693711911
9,agat village,13.3886,144.6585,32.09,79,0,3.6,GU,1693711911
10,ilovlya,49.3033,43.9796,21.39,35,6,4.33,RU,1693711912
11,papao,-17.75,-149.55,23.82,89,100,9.69,PF,1693711912
12,teguise,29.0605,-13.564,21.12,73,40,3.09,ES,1693711913
13,puerto natales,-51.7236,-72.4875,-1.7,93,76,1.69,CL,1693711875
14,frontera,26.9333,-101.45,30.5,33,0,1.34,MX,1693711913
15,grytviken,-54.2811,-36.5092,0.89,99,96,4.74,GS,1693711914
16,cestas,44.7435,-0.6791,18.96,97,100,1.54,FR,1693711914
17,port lincoln,-34.7333,135.8667,22.12,42,10,8.85,AU,1693711914
18,kavieng,-2.5744,150.7967,28.6,69,39,3.17,PG,1693711915
19,wailua homesteads,22.0669,-159.378,29.24,75,20,8.75,US,1693711915
20,marquette,46.5333,-87.6335,22.31,85,0,2.68,US,1693711916
21,olonkinbyen,70.9221,-8.7187,6.32,96,98,4.9,SJ,1693711916
22,chonchi,-42.6128,-73.8092,1.73,93,12,1.28,CL,1693711891
23,puerto ayora,-0.7393,-90.3518,24.19,94,90,2.68,EC,1693711917
24,waitangi,-43.9535,-176.5597,10.46,75,32,0.45,NZ,1693711917
25,kerikeri,-35.2268,173.9474,15.51,94,100,0.89,NZ,1693711918
26,yellowknife,62.456,-114.3525,13.56,87,20,5.14,CA,1693711918
27,anadyr,64.75,177.4833,11.28,57,75,9.0,RU,1693711918
28,alamogordo,32.8995,-105.9603,28.45,29,0,2.57,US,1693711919
29,kievka,50.2619,71.5514,13.39,65,33,8.44,KZ,1693711919
30,port blair,11.6667,92.75,26.02,94,100,4.63,IN,1693711919
31,cabezas,22.8418,-81.68,24.97,91,100,2.66,CU,1693711920
32,bethel,41.3712,-73.414,20.47,84,0,0.0,US,1693711920
33,nalut,30.3333,10.85,26.87,47,3,9.03,LY,1693711921
34,sao vicente,-23.9631,-46.3919,23.1,26,100,0.45,BR,1693711921
